2020-01-11 10:35:15.529  INFO 11320 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2020-01-11 10:35:17.749  INFO 11320 --- [main] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2020-01-11 10:35:17.750  WARN 11320 --- [main] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/gateway-service/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2020-01-11 10:35:17.753  INFO 11320 --- [main] boardify.gateway.GatewayApplication      : No active profile set, falling back to default profiles: default
2020-01-11 10:35:19.572  WARN 11320 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-01-11 10:35:19.592  WARN 11320 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2020-01-11 10:35:19.824  INFO 11320 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=5e7f39a7-80c0-3762-89bd-c50d58ff1921
2020-01-11 10:35:20.597  INFO 11320 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$54939e69] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-11 10:35:20.927  INFO 11320 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-01-11 10:35:20.942  INFO 11320 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-01-11 10:35:20.944  INFO 11320 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-01-11 10:35:21.159  INFO 11320 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-01-11 10:35:21.160  INFO 11320 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 3376 ms
2020-01-11 10:35:21.287  WARN 11320 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-01-11 10:35:21.287  INFO 11320 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-01-11 10:35:21.423  INFO 11320 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@3ee258
2020-01-11 10:35:23.689  INFO 11320 --- [main] .s.s.UserDetailsServiceAutoConfiguration : 

Using generated security password: 27cf394f-298c-499f-b4fe-10521e245531

